text	subject_id
common spanish verb common spanish verb	0
interactive google document an interactive guide to the google document interface	0
polygon presentation about polygon pl	0
we are the middle age a period of hope or despair plutarch coined the phrase dark age the student will lead a debate on whether or not the middle age we are a period of despair or hope they will complete research and analyze primary resource throughout the project based learning experience this is a complete unit with detail provided for accommodation and modification material website graphic organizer checklist holt textbook instructional video activity sheet primary source standard addressed 1 12 a evaluate pattern of continuity and rate of change over time applying context of event 1 12 b evaluate the interpretation of historical event and source considering the use of fact versus opinion multiple perspective and because and effect relationship 1 12 c analyze synthesize and integrate historical data creating a product that support and appropriately illustrates inference and conclusion drawn from research 4 12 a evaluate the role group and individual played in the social political cultural and economic development throughout world history 4 12 b evaluate the importance of historical document artifact and site which are critical to world history 4 12 c evaluate how continuity and change have impacted the world today	0
oreo stuffiness math activity which oreo ha the greatest ratio of stuff student begin by working with the weight of just the oreo wafer and the total weight of an oreo cookie in order to determine the weight of the oreo stud the unknown is the double stuf actually double the studf then student repeat the process with data from the new oreo thin how study is the new oreo thin student consider the ratio of stud to wafer in the original oreo double stuff triple stuf and oreo thin and rank the four from least to greatest in ratio of studiness the last part of this activity is to look at a long extinct oreo cookie called the big stuf show the video attached to your class when you get to those last question note the website link resource includes two video a description of the math activity and the activity in pdf form the activity oreo-cookie pdf cc 6 rp a 3 7 ee b 3 7 rp a 3 hsm hsf if hs id a mp 6 mp 8 brought to you by yummymath com and dan anderson	0
using google apps how to use google keep google keep is a great way to track track of all your list idea or note this tutorial walk you through the basic of using google keep a teacher we all use post it and we can now have access to our post it note across all our device	0
courage at ground zero when the two tower of the world trade center we are attacked on september 11 2001 the tower collapsed in on themselves creating a disaster area known a ground zero a perimeter wall wa quickly built around the area to contain the destruction and effort to rebuild one journalist spent five month with unrivaled access to the recovery effort and wrote about the experience listen to learn more about the recovery effort at ground zero and how 9 or 11 changed america about this resource this resource feature a real world public radio story listening comprehension question and classroom discussion theme about listen current listen current make it easy to bring authentic voice and compelling non-fiction story to the classroom we curate the best of public radio to keep teaching connected to the real world and build student listening skill at the same time for more information and teaching idea	0
a world of mineral infographic elesapiens is a collection of digital educational resource in science and the humanity in line with the curriculum for child between 7 and 13 it content combine cartoon and entertainment with quality teaching learning is encouraged through video game experiment and project pbl want more curricular focus of this resource mineral infographics about some of the most extracted mineral in the world and it main us it complement the various resource on rock and mineral and also about the earth system so that student become aware of the importance of mineral resource and mining for the availability of good of daily consumption and the global economy ng alignment es 3 -1 obtain and combine information to describe that energy and fuel are derived from natural resource and their us affect the environment ms- es 3 -4 construct an argument supported by evidence for how increase in human population and per-capita consumption of natural resource impact earth system ms-ps 1 -3 gather and make sense of information to describe that synthetic material come from natural resource and impact society ms- es 3 -1 construct a scientific explanation based on evidence for how the uneven distribution of earth mineral energy and groundwater resource are the result of past and current bioscience process	0
repeated comparison and double comparison comparison one point grammar lesson 2 13 5 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
author purpose sort in this activity partner read a paragraph and determine the author purpose	0
