text	subject_id
angry bird balanced and unbalanced force lab using the game angry bird student can investigate newton law of motion and balanced and unbalanced force	0
periodic table by ted-ed and periodic video this ted-ed website feature the periodic table of element with the help of periodic video this periodic table present video about each element discussion and lesson to help teacher to teach each element perfect to be use in chemistry biology and any material study class	0
up down round and round ela in up down round and round student use their favorite or local amusement park to practice informative reading and writing in a real world context a marketing manager for the park they have to write an informative web page about thrill ride and other activity at the park they read informative text about another park and look through information on their own park and then do further research of their own they then carry out market research before writing their final web page the task end with the opportunity to develop informative writing in several way this performance task ha edition for 11 different amusement park including carowinds california great adventure and hersheypark	0
the comprehension toolkit part 1 this powerpoint wa made to follow the comprehension toolkit	0
community parent explanation letter this letter provides a brief explanation of community for parent this is one of a series of linked material all will contain the title community	0
way to go green research project this product is perfect for earth day it will teach your student how to write an informational text by having them research different way to go green this unit will take your student through a 12 day process of gathering fact through research how to organize their fact take a survey how to take survey result and display them on a bar graph and create a final product of an informational text explaining six different way to go green the research topic are recycling protect nature conserve energy transportation gardening and composting and conserve water i have included all of the common core standard that are aligned with this unit the detailed teaching schedule for each day lesson plan with list of book used picture example of all anchor chart you can use a a bonus you can teach your student how to take their informational text and turn it into a digital presentation check out the preview file for sample page of the product happy earth day	0
graph a function from a table a sample application this video demonstrates a sample use of graphing a function from a table this resource is from the ck-12 library	0
renaissance scavenger hunt and answer key this two-sided worksheet answer key provided challenge student to identify important renaissance figure and their accomplishment including artist writer church reformer king or queen scientist and explorer there are 23 clue provided in the first column a place to write the person name in the second column and a specific detail to add about the person accomplishment in the third column this is a great activity to use at the introduction or conclusion of teaching the renaissance it could even be used a prep for a test or an actual assessment of their overall learning	1
adjective introduction to part of speech one point grammar lesson 1 1 3 each one point grammar lesson is a ready-to-go package that enables teacher to confidently present a discrete item of grammar to student and immediately check their comprehension with an accompanying activity worksheet lesson are designed to take between 10 30 minute but are flexible and can be combined with other activity a desired this zip file contains everything you need to teach a successful lesson a powerpoint pt presentation on the focus grammar point and a one-page printable worksheet with answer key for practice the powerpoint is ready-made for teacher to present the language in a classroom and contains chart explanation example and image to support understanding of the concept the worksheet is provided in two form a a fixed pdf that can be printed out and used a is and a an editable word document that can be personalized there are a total 351 one point grammar lesson across 3 level 95 lesson are at high beginner cefr a 2 138 at intermediate cefr b 1 and 118 at high intermediate cefr b 2 each lesson is sold separately or the entire collection is available in a single package one point grammar lesson content form a part of a comprehensive grammar course element of success grammar for language learning the course help student learn grammar and remember it it cover the grammar student find when reading academic text a well a the grammar they will need to communicate in english and to write effectively chart and activity all feature authentic corpus-based language based on the 2-billion-word oxford english corpus so that student learn grammar a it is really used	0
scavenger hunt foiling a 14 station scavenger hunt on foiling or double distribution of binomial	0
13 colony a brochure bring colonial history to life student objective to research synthesize and integrate information of an american colony such that they can describe the economy religion politics and environment of that colony in history student then visually represent the colony in a brochure of information included are the direction a note taking sheet and a brochure template all in google doc note you will need to click on the title of the project make a copy of the google doc and share with your student student can then access the resource website video tutorial etc in order to complete the assignment a always please check link to make sure your student can access them also once you make a copy you can make any necessary change to tailor the activity for your student standard addressed cc ela-literacy whst 6-8 2write informative or explanatory text including the narration of historical event scientific procedure or experiment or technical process cc ela-literacy whst 6-8 2 aintroduce a topic clearly previewing what is to follow organize idea concept and information into broader category a appropriate to achieving purpose include formatting e g heading graphic e g chart table and multimedia when useful to aiding comprehension cc ela-literacy whst 6-8 2 bdevelop the topic with relevant well-chosen fact definition concrete detail quotation or other information and example cc ela-literacy whst 6-8 2 cuse appropriate and varied transition to create cohesion and clarify the relationship among idea and concept cc ela-literacy whst 6-8 2 duse precise language and domain-specific vocabulary to inform about or explain the topic cc ela-literacy whst 6-8 2 eestablish and maintain a formal style and objective tone cc ela-literacy whst 6-8 2 fprovide a concluding statement or section that follows from and support the information or explanation presented cc ela-literacy whst 6-8 3 see note not applicable a a separate requirement production and distribution of writing cc ela-literacy whst 6-8 4produce clear and coherent writing in which the development organization and style are appropriate to task purpose and audience cc ela-literacy whst 6-8 5with some guidance and support from peer and adult develop and strengthen writing a needed by planning revising editing rewriting or trying a new approach focusing on how well purpose and audience have been addressed cc ela-literacy whst 6-8 6use technology including the internet to produce and publish writing and present the relationship between information and idea clearly and efficiently research to build and present knowledge cc ela-literacy whst 6-8 7conduct short research project to answer a question including a self-generated question drawing on several source and generating additional related focused question that allow for multiple avenue of exploration cc ela-literacy whst 6-8 8gather relevant information from multiple print and digital source using search term effectively ass the credibility and accuracy of each source and quote or paraphrase the data and conclusion of others while avoiding plagiarism and following a standard format for citation cc ela-literacy whst 6-8 9draw evidence from informational text to support analysis reflection and research	1
enhancing creative writing skill with photography this resource contains a web-based presentation created in flowvella that will encourage student to write creatively using photograph this presentation explains why picture can be more effective than word in addition this resource provides teacher with interesting way to engage student in the creative writing process practice using and applying figurative language suited for student in grade 10 aligned to common core content standard w 8 encourages teacher to use different form of medium to gather information and improve writing	0
jazz term interactive this wa originally a smartnotebook which assisted with teaching jazz term it is loaded into smartexchange a well if you want the smartnotebook file connect with me and message me	0
staar question stem or clue to answer choice reading grade 7 and 8 this is a favorite amongst texas 7th and 8th grade language art or reading teacher it is a go-to resource for instructional question stem modeled after the texas state assessment staar reading test in addition it give clue about what teacher can prepare student to expect in the answer choice on staar reading for grade 7 and 8 question stem are helpful to ensure our classroom language mirror state assessment language	0
equivalent expression with binomial and trinomials let student explore the concept of equivalence while they learn the basic of binomial and multinomial expression in this four page self-discovery investigation the student will diagram binomial expression on graph paper then they will relate area to an expanded multinomial form this is an excellent introduction activity for teaching vertex form or general form of quadratic equation	0
biodiversity expedition past and present delve into the history of humanity passion to document and display specimen from the natural world and learn how biodiversity expedition are conducted today to learn more about this course and the california academy of science please visit	0
polynomial expression an explanation of the concept this video provides an explanation of the concept of polynomial expression this resource is from the ck-12 library	0
let u make it write student research global issue then design and publish their own global-themed child book	0
listening esl a website to practice listening with movie trailer	0
key concept 1 1 renaissance and scientific revolution this video is about key concept 1 1 renaissance and scientific revolution in the new ap european history redesigned curriculum the concept cover renaissance humanism and art mannerist and baroque art and the scientific revolution how doe all that fit together let me be your guide to understanding this material more detailed video on many of these concept are available on my youtube channel you can subscribe above and on my website enjoy	1
polynomial in standard form polynomial in standard form this resource is from the ck-12 library	0
record baking ela in record baking student use real information about world record food to practice informational reading and writing a chocolate chef or baker they have to learn about press release and news article in order to announce their world record event to the public they appear on the local news to talk about their event and prepare a press release for the local medium the task end with the opportunity to develop informational writing in several way this performance task ha different edition for 5 record breaking food including brownie chocolate bar and lasagna	0
construction kid b you i l d math center organization and rotation set-up pack 42 page please note this is a classroom organizational tool you provide the math activity for each center this construction kid themed resource pack contains everything you need to set up a math center routine in your classroom just provide the activity this resource pack is based on the b you i l d math center concept b equal buddy game you equal using manipulatives or using math tool i equal independent reading or independent practice l equal learning number or learning with technology d equal daily practice you provide labeled bin or basket with the material needed for each center a great tool for implementing the common core resource includes b you i l d center sign b buddy game you using math tool i independent reading or independent practice l learning number or learning with technology d daily practice two type of center recording or tracking sheet journal page response form and various cover option group and center rotation card card also used for bin label clip chart rotation alternative to card rotation i have added a t for an optional teacher time in the rotation if you use guided math or small group during your math center time	0
bulgarian language сегашно време на глагола bulgarian language present tense	0
hotspot case study mesoamerica this video showcase the biodiversity potshot area found in mesoamerica to learn more about this course and the california academy of science please visit	0
the bill of right text and question the first ten amendment of the united state constitution grant a number of freedom to the federal government the state and the public	1
vocab baseball a vocabulary game that can be played with student at any age includes an example of the vocabulary set up and rule	0
puzzle maker website i use this often to make different starter for a range of ability i have some file saved of word or clue to copy and paste in to very quickly make new crossword or word search	0
graphing linear inequality an online investigation student will use an on line graphing manipulative to investigate how to graph a linear inequality student will compare the solution set of varying linear inequality	0
using slope-intercept form summarize the main idea of a reading create visual aid and come up with new question using a four square concept matrix this resource is from the ck-12 library	0
bassoon pitch tendency a helpful handout on which pitch naturally have issue on this instrument and how to help solve intonation problem	0
math i like math	0
english actfl proficiency level poster actfl s can-do statement help learner identify what they need to do to function at a specific level of proficiency but how can we make these clear and evident for student these poster are a great way to make these benchmark visible for student whether you re a veteran or just newly transitioning to proficiency-based curriculum these poster are a fantastic addition to your classroom how can i use it -post these poster around the room to help integrate curriculum and student buy-in -explain proficiency expectation to students-print for student at the beginning of a lesson or unit who is this for -k-12 world language students-esl ell and eld student includes -85 page of content-a chart of ncssfl-actfl global can-do benchmark version in color and black and white -a poster of the pyramid-style actfl proficiency scale version in color and black and white -10 individual proficiency-level poster in two style option these poster include the can-do statement for each mode presentational speaking interpersonal communication presentational writing interpretive listening interpretive reading from level novice low to superior version in color and black and white	0
april art challenge art sketchbook or journal are always a challenge so i created a sheet of challenge for each month at the beginning of the month i give the student a handout and then they have 20 day to finish 15 challenge inspired by michelle osborne	0
need for pln in the 21st century with the rapid growth of social networking site influencing education policy maker and educator face numerous challenge in order to meet the growing demand and expectation of the learner our learner are born and brought up with technology and they expect the same life style in their education system a educator we must recognize the potential for ameliorating student engagement inside and outside the classroom using these technology facebook ha been used a a tool in education throughout the world with many of it advantage in the daily life of our student there are many risk involved in it edmodo on the other hand is purely a personal learning network pln developed by educator with education in mind it ha a similar interface to facebook and is free of charge it is easy to create the account or a classroom and ha simple functionality it is very safe since an educator can limit who may join the group i e student are invited explicitly	0
spanish vocabulary week day and month crossword puzzle this crossword puzzle on week day and month loch d and acute a de la seaman y me is for teacher and student alike who are interested in teaching or learning spanish direction fill in the grid with the corresponding spanish word for the given text clue answer are included download and have fun	0
water cycle explore this interactive image to learn more about the water cycle	0
fraction game this is a rubric for project based learning focused on fraction student use the rubric to create a game based on fraction	0
letter kk mini-file folder word wall activity pack 13 page try the full letter aa resource for free here your student will love this alphabet mini-word wall pack it s perfect for your alphabet and phonics activity this activity pack includes everything you need to create a letter specific mini-file folder word wall differentiated writing activity and word card to add to your classroom word wall it s a great resource to get your student excited about writing and will add some novelty to your writing and word work center just print laminate copy and you are done file includes letter kk mini-file folder word wall w or folder label 10 word classroom word wall or word ring card 2 size writing activity sheet have fun common core aligned rf k 1 rf k 3 rf 1 1 rf 1 2 rf 1 3 be sure to check out my other mini-word wall resource	0
the way we teach the way they learn the journey of learning ha gone through all the period from classroom teaching to e-learning and m-learning the evolution of mobile device ha changed the way of learning and teaching learner have become tech-savvy and are keen to be practical in using latest technology anywhere and everywhere this is the society of digital native who respect knowledge wisdom and human experience le and le and rely on the technology around them the most in this age student are inventing the way to use these device to learn what they want to learn and how they want to learn	0
area v perimeter class activity on area and perimeter that get kid moving around the room student will need a ruler and or or yard stick with a copy of this worksheet	0
money and financial math worksheet ausvels level 5 to 7 this printable worksheet cover money percentage and basic financial math student are challenged to calculate percentage and percent discount using both and table or chart and in word problem that simulate shopping situation they are also asked to use a table to compare product and find out which one is the best buy then using the information from the chart they then answer question that will help the become better consumer this item could be used a a per-test to see what your student know a practice sheet a the student are learning the content or it could be used a a consummative test at the end of a unit of study item included printable pdf	0
a tapestry of multicultural diversity global oneness project student view a photo essay belief by caleb ferguson which explores photo of new yorkers celebrating various cultural festivity in one of the most diverse population in the world in this lesson student discus multiculturalism and the way in which they celebrate diversity student view the photo essay in pair or small group and are given reflective writing prompt to demonstrate student understanding of the story access the photo essay at	1
