text	subject_id
how do we measure distance in space light second light year light century how do we measure extreme distance ted ed video lesson explains this follows the next generation science standard for understanding space and space system with connection to mathematics engineering technology and the application of science	1
techlandia radio podcasts for teacher by teacher learn and laugh on your commute to school	0
engineering project and curriculum teachengineering teachengineering is a search able web-based digital library collection populated with standards-based engineering curriculum for use by k-12 teacher and engineering faculty to make applied science and math come alive through engineering design in k-12 setting the teachengineering collection provides educator with free access to a growing curricular resource of activity lesson unit and living lab teachengineering that being said this amazing resource can be your one stop shop any time you are looking to integrate engineering into your science and or or math class everything you need is well explained down to the cost if any of the material needed for the lesson or unit all in all an absolute time saver	1
scratch lesson 01 - painting a sprite scratch is a free educational programming language that wa developed by the lifelong kindergarten group at the massachusetts institute of technology mit scratch is designed to be fun educational and easy to learn it ha the tool for creating interactive story game art simulation and more scratch even ha it own paint editor and sound editor built-in you can find more information and the on line editor at in this first tutorial or screencast we look at how to create our very own sprite our first sprite is created from scratch and ha 4 costume different look for more lesson or screen cast on the use of scratch have a look at upcoming screencasts feel free to share this video with your class a it is a great basic instruction to flip your teaching an introduce text-based programming or coding	0
skin structure anatomy word search skin structure anatomy word search ideal for homework starter activity platform to developing subject further suitable for k 3 k 4 k 5 grade 9 12 igcse gcse a level gce vocational	1
booknotes for a tale of two city about studymode studymode is the world largest learning community for student we we are founded in 1999 on the idea that learning is mean to be social we have built a platform for student to find to create and to share over 100m flashcard and 2m research document on common school subject studymode book note maybe you missed a class or maybe you just can not quite comprehend stream of consciousness style either way studymode com ha you covered when it come to free book note on the most widely read book in high school and college curriculum a tale of two city book note provide professionally written book summary including character plot summary analysis of major theme and a discussion of important theme and symbol you will also find quiz discussion question and suggested reading list to enhance your understanding of the material	0
cold war cinquains create acquaints for a deeper meaning of cold war term	0
rock and mineral interactive notebook interactive notebook that develops key concept about atmosphere hydrosphere exosphere and biosphere the explanation are given in a simple language for easy understanding and retention of knowledge and they provide support for the activity proposed in the teaching unit around this theme a down loadable pdf is included for further consultation ng alignment l 4 -1 analyze and interpret data from fossil to provide evidence of the organism and the environment in which they lived long ago es 1 -1 identify evidence from pattern in rock formation and fossil in rock layer to support an explanation for change in a landscape over time ms- es 1 -4 construct a scientific explanation based on evidence from rock stratum for how the geologic time scale is used to organize earth 4 6-billion-year-old history ms- es 2 -2 construct an explanation based on evidence for how bioscience process have changed earth surface at varying time and spatial scale ms- l 4 -1 analyze and interpret data for pattern in the fossil record that document the existence diversity extinction and change of life form throughout the history of life on earth under the assumption that natural law operate today a in the past ms- es 2 -3 analyze and interpret data on the distribution of fossil and rock continental shape and sea floor structure to provide evidence of the past plate motion elesapiens is a collection of digital educational resource in science and the humanity in line with the curriculum for child between 7 and 13 it content combine cartoon and entertainment with quality teaching learning is encouraged through video game experiment and project pbl want more	1
kind of rock science project with partner student will read and annotate an article about rock classify rock from a class collection then write about how they are different	1
missouri compromise primary source material excellent primary source document with supplemental information it is a letter from thomas jefferson to john holmes about the future of the u and jefferson concern about slavery and the missouri compromise jefferson call the missouri compromise and the extension of slavery is like a fire bell in the night very good letter that predicts the civil war to come it ha question and a chart to analyze the document analysis of primary source allows student to synthesize craft and structure cc ela-literacy rh 9-10 4 determine the meaning of word and phrase a they are used in a text including vocabulary describing political social or economic aspect of history or social science cc ela-literacy rh 9-10 5 analyze how a text us structure to emphasize key point or advance an explanation or analysis	0
who do you look like research and creative activity that help to understand the concept of genetic inheritance based on the student immediate environment his family it can be performed through pair work in the classroom and through the development of material both printed and in digital format ng alignment l 3 -1 analyze and interpret data to provide evidence that plant and animal have trait inherited from parent and that variation of these trait exists in a group of similar organism l 3 -2 use evidence to support the explanation that trait can be influenced by the environment elesapiens is a collection of digital educational resource in science and the humanity in line with the curriculum for child between 7 and 13 it content combine cartoon and entertainment with quality teaching learning is encouraged through video game experiment and project pbl want more	1
no passport required global classroom collaboration in action kathy pittinger edmodocon 2015 before becoming a teacher kathy pittinger earned a bachelor s degree from the university of wisconsin got a master s from the american graduate school of international management and spent 15 year working in international business in the caribbean a lifelong learner pittinger now focus on giving student the tool and strategy they need to explore the world in her 12 year a a gifted and talented elementary teacher pittinger ha continually strives to acquire and apply new skill to enhance student learning during her no passport required global classroom collaboration in action pittinger will show how she us language a an opportunity to give student a new way to express themselves pittinger discus how she translates their world view by pairing bilingual 4th and 5th grader with student in other country and to see project-based best practice that can help increase communication collaboration and cultural awareness in your classroom what s the one thing you hope people take away from your edmodocon presentation i hope they ll be motivated to take risk and try something new i hope they ll encourage their student to explore new world of possibility through collaboration with student from other country and culture i hope they ll discover how diverse amazing and exciting the world is right now and grow to appreciate how rewarding it can be to establish relationship with teacher and student from country other than their own	0
module in humanity aesthetic for college student this module contains the following lesson introduction to humanity introduction to art element and principle of design painting sculpture music dance theater	0
kindergarten stem lesson this lesson allows student to explore the concept of wind	1
back to school book review run-down reflection rating picture student will enjoy reviewing and rating the book they have read each quarter using this book review template this is a three-slide powerpoint with direction and two student example that can be modified according to your need but includes 4 basic component for student to include in their written or video book review that can either be turned in simply to the teacher or be shared with their class on an on line classroom website like edmodo or mybigcampus the four component include the run-down summary of enticing language reflection reflecting on choice of theme character author quote etc rating rate book out of 5 star with explanation and picture book author character symbolism etc enjoy	0
